service_id,service_name,owner_team,customer_facing,compliance_scope,revenue_impact_usd_per_hour,rto_hours,criticality,service_dependencies
SVC-01,Digital Payment Processing,Payments,yes,"PCI DSS,SOC2",450000,1,5,"SVC-03,SVC-05"
SVC-02,Identity Verification Service,Identity,yes,"GDPR,PCI DSS,ISO 27001",200000,2,5,SVC-04
SVC-03,Card Tokenization Service,Payments,yes,PCI DSS,300000,1,5,SVC-01
SVC-04,KYC / AML Processing,Compliance,yes,"GDPR,ISO 27001",150000,4,5,SVC-02
SVC-05,Fraud Detection Engine,Risk,no,"PCI DSS,SOC2",500000,2,5,"SVC-01,SVC-03"
SVC-06,Merchant Payment API,Payments,yes,"PCI DSS,SOC2",200000,2,4,SVC-01
SVC-07,Customer Mobile App Backend,Mobile,yes,"GDPR,SOC2",100000,4,4,"SVC-02,SVC-01"
SVC-08,Transaction Monitoring,Risk,no,"SOC2,ISO 27001",0,8,4,"SVC-01,SVC-05"
SVC-09,Customer Portal,Web,yes,GDPR,50000,8,3,"SVC-02,SVC-07"
SVC-10,Settlement Processing,Payments,no,"PCI DSS,SOC2",300000,2,5,"SVC-01,SVC-03"
SVC-11,Reconciliation Service,Finance,no,SOC2,100000,4,4,SVC-10
SVC-12,Partner Integration API,Partnerships,yes,SOC2,50000,8,3,SVC-06
SVC-13,Compliance Reporting Platform,Compliance,no,"ISO 27001,GDPR",0,24,3,"SVC-04,SVC-08"
SVC-14,Admin Dashboard,IT Ops,no,ISO 27001,0,24,3,SVC-13
SVC-15,SMS / OTP Notification Service,Identity,yes,GDPR,30000,4,4,SVC-02
SVC-16,Email Notification Service,Platform,yes,GDPR,10000,8,3,SVC-09
SVC-17,Analytics & BI Platform,Data,no,SOC2,0,48,2,SVC-08
SVC-18,DevOps CI/CD Pipeline,DevOps,no,ISO 27001,0,24,2,
SVC-19,Internal IT Services,IT Ops,no,ISO 27001,0,48,2,
SVC-20,Logging & SIEM,Security,no,"ISO 27001,SOC2",0,8,3,
