vuln_id,asset_id,cve_id,cvss_score,exploit_available,patch_available,days_open,severity,description,first_detected
VULN-001,ASSET-001,CVE-2023-4966,9.4,yes,yes,180,critical,Citrix Bleed: unauthenticated session token theft on payment gateway,2026-03-19
VULN-002,ASSET-001,CVE-2022-26134,9.8,yes,yes,210,critical,Atlassian Confluence OGNL injection found in payment gateway,2026-02-17
VULN-003,ASSET-002,CVE-2023-4966,9.4,yes,yes,180,critical,Citrix Bleed on secondary payment gateway — load-balanced cluster,2026-03-19
VULN-004,ASSET-003,CVE-2024-21762,9.6,yes,no,45,critical,Fortinet SSL VPN OOB write — RCE on Identity API endpoint,2026-08-01
VULN-005,ASSET-003,CVE-2022-40684,9.8,yes,yes,90,critical,Fortinet admin auth bypass on identity verification API,2026-06-17
VULN-006,ASSET-004,CVE-2024-21762,9.6,yes,no,45,critical,Fortinet SSL VPN RCE on secondary identity API,2026-08-01
VULN-007,ASSET-005,CVE-2022-1388,9.8,yes,yes,90,critical,F5 BIG-IP iControl REST unauthenticated RCE on card processing server,2026-06-17
VULN-008,ASSET-005,CVE-2022-41082,8.8,yes,yes,120,high,Exchange ProxyNotShell RCE found in additional scan,2026-05-18
VULN-009,ASSET-006,CVE-2022-1388,9.8,yes,yes,90,critical,F5 BIG-IP RCE on secondary card processing server,2026-06-17
VULN-010,ASSET-007,CVE-2024-3400,10.0,yes,yes,30,critical,PAN-OS GlobalProtect OS command injection,2026-08-16
VULN-011,ASSET-007,CVE-2023-20198,10.0,yes,yes,60,critical,Cisco IOS XE Web UI privilege escalation found in dual-vendor stack,2026-07-17
VULN-012,ASSET-008,CVE-2024-3400,10.0,yes,yes,30,critical,PAN-OS GlobalProtect RCE on secondary API gateway,2026-08-16
VULN-013,ASSET-011,CVE-2023-20198,10.0,yes,yes,120,critical,Cisco IOS XE privilege escalation on VPN gateway,2026-05-18
VULN-014,ASSET-012,CVE-2023-20198,10.0,yes,yes,120,critical,Cisco IOS XE privilege escalation on secondary VPN gateway,2026-05-18
VULN-015,ASSET-013,CVE-2021-26855,9.1,yes,yes,540,critical,Exchange ProxyLogon SSRF — email gateway pre-auth RCE,2025-03-24
VULN-016,ASSET-013,CVE-2021-27065,7.8,yes,yes,540,high,Exchange ProxyLogon file write post-auth — chained with ProxyLogon,2025-03-24
VULN-017,ASSET-016,CVE-2021-44228,10.0,yes,no,890,critical,Log4Shell RCE on fraud detection engine — unpatched since 2021,2024-04-08
VULN-018,ASSET-016,CVE-2023-28252,7.8,yes,yes,60,high,Windows CLFS driver privilege escalation on fraud engine,2026-07-17
VULN-019,ASSET-017,CVE-2021-44228,10.0,yes,no,890,critical,Log4Shell on secondary fraud detection engine — same unpatched version,2024-04-08
