threat_id,campaign_name,threat_actor,cve_id,attack_type,target_sector,target_region,first_seen,last_seen,confidence_level,ioc_count,ttp_count
TI-001,GulfStrike,UNC4841,CVE-2023-4966,Ransomware,Financial Services,Gulf Cooperation Council,2024-01-10,2024-04-10,high,47,12
TI-002,BlackMint,Scattered Spider,CVE-2024-21762,Ransomware,FinTech,Middle East,2024-02-01,2024-04-12,high,33,9
TI-003,DarkNexus,Lazarus Group,CVE-2024-3400,Espionage/Ransomware,Payment Processing,"UAE,KSA",2024-03-01,2024-04-15,high,28,15
TI-004,GulfStrike,UNC4841,CVE-2021-44228,Ransomware,Financial Services,Gulf Cooperation Council,2022-01-05,2024-04-10,high,156,20
TI-005,BlackMint,Scattered Spider,CVE-2022-1388,Ransomware,FinTech,Middle East,2022-10-01,2024-04-12,high,41,11
TI-006,OperationSilverFox,APT33,CVE-2023-20198,Espionage,Financial Services,UAE,2023-10-20,2024-03-30,medium,22,8
TI-007,GulfStrike,UNC4841,CVE-2023-46604,Ransomware,Financial Services,Gulf Cooperation Council,2023-11-01,2024-04-10,high,39,13
TI-008,OperationSilverFox,APT33,CVE-2022-26134,Espionage,Banking,Middle East,2022-06-15,2024-02-28,medium,18,7
TI-009,BlackMint,Scattered Spider,CVE-2023-42793,Ransomware,FinTech,"GCC,India",2023-09-01,2024-04-12,high,52,14
TI-010,GulfStrike,UNC4841,CVE-2020-1472,Ransomware,Financial Services,Gulf Cooperation Council,2020-09-01,2024-04-10,high,89,18
TI-011,DarkNexus,Lazarus Group,CVE-2023-28252,Espionage/Ransomware,Payment Processing,"UAE,KSA",2023-04-01,2024-04-15,medium,16,6
TI-012,OperationSilverFox,APT33,CVE-2021-26855,Espionage,Financial Services,Gulf,2021-03-10,2024-01-20,medium,34,10
TI-013,GulfStrike,UNC4841,CVE-2023-32315,Ransomware,FinTech,GCC,2023-06-01,2024-03-15,medium,12,5
TI-014,BlackMint,Scattered Spider,CVE-2023-27350,Ransomware,Financial Services,Middle East,2023-04-15,2024-04-12,high,27,9
TI-015,DarkNexus,Lazarus Group,CVE-2024-1709,Espionage/Ransomware,Payment Processing,"UAE,India",2024-02-20,2024-04-15,high,19,7
TI-016,OperationSilverFox,APT33,CVE-2023-35078,Espionage,Financial Services,UAE,2023-07-25,2024-02-10,medium,14,6
TI-017,GulfStrike,UNC4841,CVE-2022-47966,Ransomware,FinTech,Gulf Cooperation Council,2023-01-20,2024-04-10,high,31,10
TI-018,BlackMint,Scattered Spider,CVE-2023-23397,Ransomware,Financial Services,"Middle East,GCC",2023-03-20,2024-04-12,high,43,11
TI-019,DarkNexus,Lazarus Group,CVE-2022-41082,Espionage/Ransomware,Payment Processing,UAE,2022-10-05,2024-04-15,medium,22,8
TI-020,OperationSilverFox,APT33,CVE-2021-34527,Espionage,Financial Services,Gulf,2021-07-05,2023-12-01,low,8,4
TI-021,GulfStrike,UNC4841,CVE-2022-30190,Ransomware,Financial Services,GCC,2022-06-01,2024-04-10,medium,24,8
TI-022,BlackMint,Scattered Spider,CVE-2023-48788,Ransomware,FinTech,Middle East,2024-01-15,2024-04-12,high,17,6
TI-023,DarkNexus,Lazarus Group,CVE-2021-27065,Espionage,Payment Processing,UAE,2021-03-15,2024-02-10,medium,11,5
TI-024,GulfStrike,UNC4841,CVE-2022-40684,Ransomware,Financial Services,GCC,2022-10-10,2024-04-10,high,35,10
TI-025,OperationSilverFox,APT33,CVE-2023-2868,Espionage,Financial Services,Middle East,2023-05-25,2024-01-10,medium,9,4
TI-026,SandstormOps,APT34,CVE-2024-26169,Espionage,Energy,Middle East,2024-03-01,2024-04-01,low,5,3
TI-027,SandstormOps,APT34,CVE-2024-21893,Espionage,Telecom,UAE,2024-02-15,2024-03-20,low,7,3
TI-028,NightViper,TA453,CVE-2024-27198,Phishing,Financial Services,Global,2024-03-10,2024-04-08,medium,12,5
TI-029,NightViper,TA453,CVE-2024-27199,Phishing,Financial Services,Global,2024-03-10,2024-04-08,medium,11,5
TI-030,CobaltMirage,Charming Kitten,CVE-2023-34960,Ransomware,Banking,"Iran,UAE",2023-11-01,2024-02-28,medium,15,6
TI-031,CobaltMirage,Charming Kitten,CVE-2024-0519,Browser Exploit,Financial,Global,2024-01-20,2024-03-10,high,8,4
TI-032,DesertFalcon,StrongPity,CVE-2024-20253,Espionage,Government,Gulf,2024-02-01,2024-04-05,low,6,3
TI-033,DesertFalcon,StrongPity,CVE-2024-22024,Espionage,Defense,"UAE,KSA",2024-01-25,2024-03-15,low,4,2
TI-034,PhoenixClaw,TA505,CVE-2024-21888,Ransomware,"Retail,FinTech",Global,2024-02-05,2024-04-15,medium,19,7
TI-035,PhoenixClaw,TA505,CVE-2024-26230,Ransomware,Financial Services,"Europe,MENA",2024-03-05,2024-04-15,medium,14,6
TI-036,SilverThread,Volt Typhoon,CVE-2024-28252,Espionage,Critical Infrastructure,"US,MENA",2024-03-20,2024-04-10,low,3,2
TI-037,SilverThread,Volt Typhoon,CVE-2024-29943,Espionage,Telecom,Global,2024-03-25,2024-04-12,low,2,1
TI-038,StormCastle,Storm-0978,CVE-2024-30040,Ransomware,Financial Services,"Europe,MENA",2024-04-01,2024-04-14,medium,9,4
TI-039,StormCastle,Storm-0978,CVE-2024-30051,Ransomware,Banking,Global,2024-04-01,2024-04-14,medium,11,5
TI-040,GhostMarket,FIN7,CVE-2023-46805,Financial Crime,Payment Processing,Global,2024-01-10,2024-03-31,high,25,9
